time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,Momentum,2e5f24bf35d94914b19d0604e9e3c22e,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,Momentum,2e5f24bf35d94914b19d0604e9e3c22e,AGG,buy,market,fill,1,gtc,0.0,1,stock,97.97000122070312,1031.0,0.0
2023-01-05 09:30:00-05:00,Momentum,0b1559063ad54fc1967d067345e298a8,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,Momentum,17b70df7be98402bbaaea51bc8084715,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,Momentum,0b1559063ad54fc1967d067345e298a8,AGG,sell,market,fill,1,gtc,0.0,1,stock,97.63999938964844,1031.0,0.0
2023-01-05 09:30:00-05:00,Momentum,17b70df7be98402bbaaea51bc8084715,VEU,buy,market,fill,1,gtc,0.0,1,stock,50.93000030517578,1940.0,0.0
2023-01-11 09:30:00-05:00,Momentum,2f7c331d42b24cd49edbc32e1ba1071e,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,Momentum,7780f4764a68472abc6b3fcebb0c2b79,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,Momentum,2f7c331d42b24cd49edbc32e1ba1071e,VEU,sell,market,fill,1,gtc,0.0,1,stock,52.77000045776367,1940.0,0.0
2023-01-11 09:30:00-05:00,Momentum,7780f4764a68472abc6b3fcebb0c2b79,SPY,buy,market,fill,1,gtc,0.0,1,stock,392.2300109863281,264.0,0.0
2023-01-13 09:30:00-05:00,Momentum,0f87de69f7c94bc98e27c402ccf7b8fe,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,Momentum,eb3141f1152c44abb7395fe913e6a60b,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,Momentum,0f87de69f7c94bc98e27c402ccf7b8fe,SPY,sell,market,fill,1,gtc,0.0,1,stock,393.6199951171875,264.0,0.0
2023-01-13 09:30:00-05:00,Momentum,eb3141f1152c44abb7395fe913e6a60b,VEU,buy,market,fill,1,gtc,0.0,1,stock,53.400001525878906,1934.0,0.0
2023-01-20 09:30:00-05:00,Momentum,28e97019d30a4596bfbe41a05f806f5c,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,Momentum,d2a744535c4745988bcd6279a8a690c4,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,Momentum,28e97019d30a4596bfbe41a05f806f5c,VEU,sell,market,fill,1,gtc,0.0,1,stock,53.81999969482422,1934.0,0.0
2023-01-20 09:30:00-05:00,Momentum,d2a744535c4745988bcd6279a8a690c4,AGG,buy,market,fill,1,gtc,0.0,1,stock,100.16999816894531,1038.0,0.0
2023-02-01 09:30:00-05:00,Momentum,95788d6335544f47b748a2afd9916ecf,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,Momentum,6c6f4584c5204131a73c4c7bc114de5f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,Momentum,95788d6335544f47b748a2afd9916ecf,AGG,sell,market,fill,1,gtc,0.0,1,stock,100.19000244140625,1038.0,0.0
2023-02-01 09:30:00-05:00,Momentum,6c6f4584c5204131a73c4c7bc114de5f,SPY,buy,market,fill,1,gtc,0.0,1,stock,405.2099914550781,256.0,0.0
2023-02-09 09:30:00-05:00,Momentum,a22679321dfd4393a57f473afeabe75f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-09 09:30:00-05:00,Momentum,00ad6edb2de44b11a34959753e12d759,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-09 09:30:00-05:00,Momentum,a22679321dfd4393a57f473afeabe75f,SPY,sell,market,fill,1,gtc,0.0,1,stock,414.4100036621094,256.0,0.0
2023-02-09 09:30:00-05:00,Momentum,00ad6edb2de44b11a34959753e12d759,VEU,buy,market,fill,1,gtc,0.0,1,stock,54.529998779296875,1984.0,0.0
2023-02-17 09:30:00-05:00,Momentum,0ed30d7fb4274da6b2ea846f2e6908db,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-17 09:30:00-05:00,Momentum,df9d99bafcb14ef79fcf0c484a7a2757,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-17 09:30:00-05:00,Momentum,0ed30d7fb4274da6b2ea846f2e6908db,VEU,sell,market,fill,1,gtc,0.0,1,stock,53.33000183105469,1984.0,0.0
2023-02-17 09:30:00-05:00,Momentum,df9d99bafcb14ef79fcf0c484a7a2757,AGG,buy,market,fill,1,gtc,0.0,1,stock,97.52999877929688,1067.0,0.0
2023-03-02 09:30:00-05:00,Momentum,63e1dfd910464a1b8b1d12586bb4d3de,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-02 09:30:00-05:00,Momentum,a1311441a28c406599d27f06f2d44a2d,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-02 09:30:00-05:00,Momentum,63e1dfd910464a1b8b1d12586bb4d3de,AGG,sell,market,fill,1,gtc,0.0,1,stock,96.1500015258789,1067.0,0.0
2023-03-02 09:30:00-05:00,Momentum,a1311441a28c406599d27f06f2d44a2d,VEU,buy,market,fill,1,gtc,0.0,1,stock,52.34000015258789,1959.0,0.0
2023-03-08 09:30:00-05:00,Momentum,add727e0bb294af782f2c38ae39bb139,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-08 09:30:00-05:00,Momentum,a65dda0b23094d398fe2704b9f499eb0,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-08 09:30:00-05:00,Momentum,add727e0bb294af782f2c38ae39bb139,VEU,sell,market,fill,1,gtc,0.0,1,stock,52.5099983215332,1959.0,0.0
2023-03-08 09:30:00-05:00,Momentum,a65dda0b23094d398fe2704b9f499eb0,AGG,buy,market,fill,1,gtc,0.0,1,stock,96.9000015258789,1070.0,0.0
2023-03-22 09:30:00-04:00,Momentum,f8579c8ca5df491b94408338981381f6,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-22 09:30:00-04:00,Momentum,11e031614c804d78be2fcc086073881a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-22 09:30:00-04:00,Momentum,f8579c8ca5df491b94408338981381f6,AGG,sell,market,fill,1,gtc,0.0,1,stock,99.68000030517578,1070.0,0.0
2023-03-22 09:30:00-04:00,Momentum,11e031614c804d78be2fcc086073881a,SPY,buy,market,fill,1,gtc,0.0,1,stock,395.0899963378906,271.0,0.0
2023-03-24 09:30:00-04:00,Momentum,b3e6d43070ce490baa9ca0e7f8820896,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-24 09:30:00-04:00,Momentum,e9a7eaa391dc4ac2815a8bd4724291b3,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-24 09:30:00-04:00,Momentum,b3e6d43070ce490baa9ca0e7f8820896,SPY,sell,market,fill,1,gtc,0.0,1,stock,391.8399963378906,271.0,0.0
2023-03-24 09:30:00-04:00,Momentum,e9a7eaa391dc4ac2815a8bd4724291b3,VEU,buy,market,fill,1,gtc,0.0,1,stock,51.5,2041.0,0.0
2023-03-30 09:30:00-04:00,Momentum,e11c75bf1af5477889a49dfc066525b5,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-30 09:30:00-04:00,Momentum,6a1f8356798c49be84b041a21717986f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-30 09:30:00-04:00,Momentum,e11c75bf1af5477889a49dfc066525b5,VEU,sell,market,fill,1,gtc,0.0,1,stock,53.40999984741211,2041.0,0.0
2023-03-30 09:30:00-04:00,Momentum,6a1f8356798c49be84b041a21717986f,SPY,buy,market,fill,1,gtc,0.0,1,stock,404.6600036621094,271.0,0.0
2023-04-05 09:30:00-04:00,Momentum,faa00b37158d4def9996a7c4698f53d5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-05 09:30:00-04:00,Momentum,e06795aa70f447f3bfc1c4ffe1fa9430,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-05 09:30:00-04:00,Momentum,faa00b37158d4def9996a7c4698f53d5,SPY,sell,market,fill,1,gtc,0.0,1,stock,406.7699890136719,271.0,0.0
2023-04-05 09:30:00-04:00,Momentum,e06795aa70f447f3bfc1c4ffe1fa9430,AGG,buy,market,fill,1,gtc,0.0,1,stock,100.55999755859375,1094.0,0.0
2023-04-12 09:30:00-04:00,Momentum,ea57821e337847eeaa65a855708fdf02,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-12 09:30:00-04:00,Momentum,c93463574f6e41b5bbbada114ed2af2c,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-12 09:30:00-04:00,Momentum,ea57821e337847eeaa65a855708fdf02,AGG,sell,market,fill,1,gtc,0.0,1,stock,100.16000366210938,1094.0,0.0
2023-04-12 09:30:00-04:00,Momentum,c93463574f6e41b5bbbada114ed2af2c,VEU,buy,market,fill,1,gtc,0.0,1,stock,54.52000045776367,2028.0,0.0
2023-04-14 09:30:00-04:00,Momentum,974bd33e3a3748c6b8de6d23ec459871,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-14 09:30:00-04:00,Momentum,88f2a521bf0f4d7ca76e5eae41977d1c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-14 09:30:00-04:00,Momentum,974bd33e3a3748c6b8de6d23ec459871,VEU,sell,market,fill,1,gtc,0.0,1,stock,54.65999984741211,2028.0,0.0
2023-04-14 09:30:00-04:00,Momentum,88f2a521bf0f4d7ca76e5eae41977d1c,SPY,buy,market,fill,1,gtc,0.0,1,stock,412.80999755859375,266.0,0.0
2023-04-26 09:30:00-04:00,Momentum,4b55332ef7ee48f3aa4e82dabd9ad801,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-26 09:30:00-04:00,Momentum,f50eaad35e0949158f3fbf07e499a202,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-26 09:30:00-04:00,Momentum,4b55332ef7ee48f3aa4e82dabd9ad801,SPY,sell,market,fill,1,gtc,0.0,1,stock,407.0,266.0,0.0
2023-04-26 09:30:00-04:00,Momentum,f50eaad35e0949158f3fbf07e499a202,AGG,buy,market,fill,1,gtc,0.0,1,stock,99.61000061035156,1085.0,0.0
2023-04-28 09:30:00-04:00,Momentum,da540ec4d6a04513b1c9151cc7caa75d,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-28 09:30:00-04:00,Momentum,0fb6f23e74a04f68a5ae3c376b35540c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-28 09:30:00-04:00,Momentum,da540ec4d6a04513b1c9151cc7caa75d,AGG,sell,market,fill,1,gtc,0.0,1,stock,99.98999786376953,1085.0,0.0
2023-04-28 09:30:00-04:00,Momentum,0fb6f23e74a04f68a5ae3c376b35540c,SPY,buy,market,fill,1,gtc,0.0,1,stock,411.489990234375,261.0,0.0
2023-05-04 09:30:00-04:00,Momentum,91fd943d4d494ef0a3afb03e84fde5fb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-04 09:30:00-04:00,Momentum,77b6db8587594e808bdc245bcdc7d6ef,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-04 09:30:00-04:00,Momentum,91fd943d4d494ef0a3afb03e84fde5fb,SPY,sell,market,fill,1,gtc,0.0,1,stock,408.9100036621094,261.0,0.0
2023-05-04 09:30:00-04:00,Momentum,77b6db8587594e808bdc245bcdc7d6ef,AGG,buy,market,fill,1,gtc,0.0,1,stock,99.63999938964844,1081.0,0.0
2023-05-18 09:30:00-04:00,Momentum,0e45854810574af89fd1a53f54b4f305,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-18 09:30:00-04:00,Momentum,3c46413c8a924622bfd810d3ee7ef601,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-18 09:30:00-04:00,Momentum,0e45854810574af89fd1a53f54b4f305,AGG,sell,market,fill,1,gtc,0.0,1,stock,98.12999725341797,1081.0,0.0
2023-05-18 09:30:00-04:00,Momentum,3c46413c8a924622bfd810d3ee7ef601,SPY,buy,market,fill,1,gtc,0.0,1,stock,420.1700134277344,254.0,0.0
2023-05-24 09:30:00-04:00,Momentum,a36722dfc43d4461be3b03e969e03707,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-24 09:30:00-04:00,Momentum,e658718a05f54ad0a639d0584adb5063,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-24 09:30:00-04:00,Momentum,a36722dfc43d4461be3b03e969e03707,SPY,sell,market,fill,1,gtc,0.0,1,stock,414.739990234375,254.0,0.0
2023-05-24 09:30:00-04:00,Momentum,e658718a05f54ad0a639d0584adb5063,AGG,buy,market,fill,1,gtc,0.0,1,stock,97.73999786376953,1074.0,0.0
2023-05-26 09:30:00-04:00,Momentum,6b1490d1a8d8491ebb825006ba3363f3,AGG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-26 09:30:00-04:00,Momentum,3bbbc38c004d4dbda376478042f44ca2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-26 09:30:00-04:00,Momentum,6b1490d1a8d8491ebb825006ba3363f3,AGG,sell,market,fill,1,gtc,0.0,1,stock,97.36000061035156,1074.0,0.0
2023-05-26 09:30:00-04:00,Momentum,3bbbc38c004d4dbda376478042f44ca2,SPY,buy,market,fill,1,gtc,0.0,1,stock,415.3299865722656,249.0,0.0
2023-06-02 09:30:00-04:00,Momentum,f1cc6016efbc4a20b9ec162f52bb1b5d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-02 09:30:00-04:00,Momentum,d034b43933a64c8eadd26d2490dd9bb0,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-02 09:30:00-04:00,Momentum,f1cc6016efbc4a20b9ec162f52bb1b5d,SPY,sell,market,fill,1,gtc,0.0,1,stock,424.5,249.0,0.0
2023-06-02 09:30:00-04:00,Momentum,d034b43933a64c8eadd26d2490dd9bb0,VEU,buy,market,fill,1,gtc,0.0,1,stock,54.150001525878906,1973.0,0.0
2023-06-08 09:30:00-04:00,Momentum,4abbf781b5164a76ab23657647701862,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-08 09:30:00-04:00,Momentum,1921c87f919a4bcea3e578552cb49d5f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-08 09:30:00-04:00,Momentum,4abbf781b5164a76ab23657647701862,VEU,sell,market,fill,1,gtc,0.0,1,stock,54.54999923706055,1973.0,0.0
2023-06-08 09:30:00-04:00,Momentum,1921c87f919a4bcea3e578552cb49d5f,SPY,buy,market,fill,1,gtc,0.0,1,stock,429.9599914550781,251.0,0.0
2023-06-14 09:30:00-04:00,Momentum,fe0280dc48ea410f98eaa5f063c81f57,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-14 09:30:00-04:00,Momentum,a2b25bc7244a42d0a540f245ddd4b37d,VEU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-14 09:30:00-04:00,Momentum,fe0280dc48ea410f98eaa5f063c81f57,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.3299865722656,251.0,0.0
2023-06-14 09:30:00-04:00,Momentum,a2b25bc7244a42d0a540f245ddd4b37d,VEU,buy,market,fill,1,gtc,0.0,1,stock,55.5,1971.0,0.0
2023-06-16 09:30:00-04:00,Momentum,581315936d1046d090f515656316d45e,VEU,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-16 09:30:00-04:00,Momentum,01e7541aa7d74f69ac6e6f84323aa1f8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-16 09:30:00-04:00,Momentum,581315936d1046d090f515656316d45e,VEU,sell,market,fill,1,gtc,0.0,1,stock,56.2599983215332,1971.0,0.0
2023-06-16 09:30:00-04:00,Momentum,01e7541aa7d74f69ac6e6f84323aa1f8,SPY,buy,market,fill,1,gtc,0.0,1,stock,443.0199890136719,252.0,0.0
2023-06-29 09:30:00-04:00,Momentum,93878b52740b4031927dfbc45cd89484,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,Momentum,fa0157d3ed6c492591df0fc760be86ae,AGG,buy,market,new,1,gtc,0.0,1,stock,,,
